det,,,,,,,,,,components,resize,color,whiten,mirror,time,true_pos,true_neg,false_pos,false_neg,total
2.64E+228,1.50E+228,9.86E+227,2.68E+228,6.00E+228,4.15E+228,6.70E+228,2.37E+228,1.86E+229,5.92E+228,40,0.07,0,0,0,9.139,1950,2080,920,1050,6000
2.32E+296,1.80E+296,1.22E+296,2.01E+296,3.42E+296,2.82E+296,4.21E+296,2.29E+296,9.40E+296,2.86E+296,40,0.07,0,0,1,10.398,2096,2018,982,904,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,40,0.1,0,0,0,15.035,1688,2276,724,1312,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40,0.1,0,0,1,16.51,2004,2138,862,996,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,40,0.15,0,0,0,20.641,1688,2276,724,1312,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40,0.15,0,0,1,14.91,2004,2138,862,996,6000
0,0,0,0,0,0,0,0,0,0,40,0.2,0,0,0,45.322,170,2915,85,2830,6000
1.36E-149,6.80E-150,1.84E-152,1.45E-153,1.53E-149,2.36E-148,5.45E-149,3.96E-149,3.36E-147,2.23E-148,40,0.2,0,0,1,51.196,998,2555,445,2002,6000
1.01E+44,3.40E+45,4.10E+43,3.09E+44,5.24E+45,1.80E+46,7.76E+46,5.89E+45,1.94E+47,2.30E+46,40,0.07,1,0,0,17.537,1604,2442,558,1396,6000
2.18E+255,4.92E+256,2.69E+255,2.81E+255,1.22E+256,7.47E+256,3.00E+257,3.81E+256,4.49E+257,6.45E+256,40,0.07,1,0,1,16.702,2044,2233,767,956,6000
0,0,0,0,0,0,0,0,0,0,40,0.1,1,0,0,27.627,620,2791,209,2380,6000
7.06E-201,1.18E-197,1.18E-200,3.73E-200,4.26E-199,2.18E-197,1.88E-196,5.97E-198,2.08E-196,2.29E-197,40,0.1,1,0,1,31.141,1609,2508,492,1391,6000
2.64E+228,1.50E+228,9.86E+227,2.68E+228,6.00E+228,4.15E+228,6.70E+228,2.37E+228,1.86E+229,5.92E+228,20,0.07,0,0,0,5.534,2077,2085,915,923,6000
2.32E+296,1.80E+296,1.22E+296,2.01E+296,3.42E+296,2.82E+296,4.21E+296,2.29E+296,9.40E+296,2.86E+296,20,0.07,0,0,1,6.055,2150,2063,937,850,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,20,0.1,0,0,0,7.21,1763,2244,756,1237,6000
