output,resize,color,time,true_pos,true_neg,accuracy,train_true_pos,train_true_neg,train_accuracy
10,7,1,109.2106667,0.565555556,0.555555556,0.560555556,0.572345679,0.527407407,0.549876543
10,12,1,205.738,0.604444444,0.566666667,0.585555556,0.609259259,0.528024691,0.568641975
10,17,1,368.304,0.573333333,0.533333333,0.553333333,0.568024691,0.51617284,0.542098765
10,7,0,121.171,0.576666667,0.551111111,0.563888889,0.559012346,0.519012346,0.539012346
10,12,0,198.9133333,0.582222222,0.542222222,0.562222222,0.578765432,0.519753086,0.549259259
10,17,0,328.954,0.593333333,0.555555556,0.574444444,0.606666667,0.526790123,0.566728395
10,22,0,529.132,0.592222222,0.525555556,0.558888889,0.591851852,0.502839506,0.547345679
25,7,1,111.4526667,0.577777778,0.516666667,0.547222222,0.573209877,0.511975309,0.542592593
25,12,1,217.9323333,0.565555556,0.537777778,0.551666667,0.564814815,0.542098765,0.55345679
25,17,1,371.839,0.568888889,0.573333333,0.571111111,0.579753086,0.565432099,0.572592593
25,7,0,118.1046667,0.61,0.576666667,0.593333333,0.601111111,0.543703704,0.572407407
25,12,0,199.311,0.595555556,0.524444444,0.56,0.588641975,0.523333333,0.555987654
25,17,0,337.6123333,0.594444444,0.557777778,0.576111111,0.602345679,0.541234568,0.571790123
25,22,0,523.808,0.585555556,0.587777778,0.586666667,0.59691358,0.58654321,0.591728395
