hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,10,0.12,1,20000,1,1,215.018,167,156,144,133,6000,1529,1399,1301,1171
70,10,0.12,1,10000,2,1,158.197,169,170,130,131,6000,1511,1531,1169,1189
70,10,0.12,1,5000,4,1,99.834,158,168,132,142,6000,1496,1493,1207,1204
70,10,0.12,1,2500,8,1,66.409,189,185,115,111,6000,1611,1605,1095,1089
70,10,0.12,1,1250,16,1,49.042,160,196,104,140,6000,1376,1633,1067,1324
70,10,0.12,1,500,40,1,38.461,154,188,112,146,6000,1375,1618,1082,1325
70,10,0.12,1,20000,1,1,260.131,177,148,152,123,6000,1643,1324,1376,1057
70,10,0.12,1,10000,2,1,148.193,167,159,141,133,6000,1568,1421,1279,1132
70,10,0.12,1,5000,4,1,94.531,172,181,119,128,6000,1552,1506,1194,1148
70,10,0.12,1,2500,8,1,69.283,169,182,118,131,6000,1468,1527,1173,1232
70,10,0.12,1,1250,16,1,55.358,166,180,120,134,6000,1410,1689,1011,1290
70,10,0.12,1,500,40,1,47.815,158,173,127,142,6000,1393,1527,1173,1307
70,10,0.12,1,20000,1,1,227.117,173,166,134,127,6000,1550,1420,1280,1150
70,10,0.12,1,10000,2,1,143.960,174,157,143,126,6000,1471,1373,1327,1229
70,10,0.12,1,5000,4,1,88.462,179,173,127,121,6000,1584,1510,1190,1116
70,10,0.12,1,2500,8,1,67.417,175,189,111,125,6000,1492,1580,1120,1208
70,10,0.12,1,1250,16,1,52.980,177,185,115,123,6000,1426,1584,1116,1274
70,10,0.12,1,500,40,1,42.732,176,191,109,124,6000,1471,1641,1059,1229
