hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,10,0.07,0,20000,1,1,99.769,173,163,137,127,6000,1539,1393,1307,1161
70,10,0.15,0,20000,1,1,235.251,176,176,124,124,6000,1546,1525,1175,1154
70,10,0.25,0,20000,1,1,560.464,180,147,153,120,6000,1523,1314,1386,1177
70,10,0.07,1,20000,1,1,100.261,174,164,136,126,6000,1586,1380,1320,1114
70,10,0.12,1,20000,1,1,154.711,196,187,113,104,6000,1728,1606,1094,972
70,10,0.17,1,20000,1,1,176.721,171,166,134,129,6000,1526,1385,1315,1174
70,25,0.17,1,20000,1,1,176.807,164,173,127,136,6000,1566,1471,1229,1134
70,25,0.07,0,20000,1,1,99.077,188,145,155,112,6000,1629,1329,1371,1071
70,25,0.15,0,20000,1,1,233.255,170,166,134,130,6000,1641,1471,1229,1059
70,25,0.25,0,20000,1,1,570.485,179,155,145,121,6000,1567,1306,1394,1133
70,25,0.07,1,20000,1,1,100.529,174,168,132,126,6000,1531,1458,1242,1169
70,25,0.12,1,20000,1,1,157.976,165,157,143,135,6000,1591,1336,1364,1109
