hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,10,0.07,1,20000,1,1,94.527,165,165,135,135,6000,1575,1423,1277,1125
70,10,0.12,1,20000,1,1,191.073,166,170,130,134,6000,1487,1438,1262,1213
70,10,0.17,1,20000,1,1,448.998,175,162,138,125,6000,1536,1410,1290,1164
70,10,0.07,0,20000,1,1,148.077,181,164,136,119,6000,1539,1414,1286,1161
70,10,0.12,0,20000,1,1,252.738,171,158,142,129,6000,1544,1389,1311,1156
70,10,0.17,0,20000,1,1,408.193,176,157,143,124,6000,1600,1391,1309,1100
70,10,0.22,0,20000,1,1,676.912,189,119,181,111,6000,1697,1102,1598,1003
70,10,0.07,1,20000,1,1,113.205,171,173,127,129,6000,1537,1428,1272,1163
70,10,0.12,1,20000,1,1,210.351,209,179,121,91,6000,1914,1483,1217,786
70,10,0.17,1,20000,1,1,352.104,168,152,148,132,6000,1489,1328,1372,1211
70,10,0.07,0,20000,1,1,117.361,174,163,137,126,6000,1513,1354,1346,1187
70,10,0.12,0,20000,1,1,191.565,174,172,128,126,6000,1523,1448,1252,1177
70,10,0.17,0,20000,1,1,337.309,186,186,114,114,6000,1808,1521,1179,892
70,10,0.22,0,20000,1,1,534.983,181,182,118,119,6000,1569,1471,1229,1131
70,10,0.07,1,20000,1,1,119.900,173,162,138,127,6000,1524,1421,1279,1176
70,10,0.12,1,20000,1,1,215.790,169,161,139,131,6000,1534,1356,1344,1166
70,10,0.17,1,20000,1,1,303.810,173,166,134,127,6000,1576,1443,1257,1124
70,10,0.07,0,20000,1,1,98.075,164,169,131,136,6000,1476,1436,1264,1224
70,10,0.12,0,20000,1,1,152.437,179,158,142,121,6000,1621,1373,1327,1079
70,10,0.17,0,20000,1,1,241.360,172,157,143,128,6000,1506,1355,1345,1194
70,10,0.22,0,20000,1,1,375.501,163,172,128,137,6000,1528,1500,1200,1172
