hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,10,0.07,1,20000,1,1,114.460,174,154,146,126,6000,1566,1416,1284,1134
70,10,0.12,1,20000,1,1,180.037,175,162,138,125,6000,1611,1573,1127,1089
70,10,0.17,1,20000,1,1,284.355,193,186,114,107,6000,1749,1649,1051,951
70,10,0.07,0,20000,1,1,110.998,178,199,101,122,6000,1675,1623,1077,1025
70,10,0.12,0,20000,1,1,173.881,218,175,125,82,6000,1888,1482,1218,812
70,10,0.17,0,20000,1,1,288.445,169,183,117,131,6000,1638,1654,1046,1062
70,10,0.22,0,20000,1,1,438.614,209,173,127,91,6000,1968,1478,1222,732
70,10,0.07,1,20000,1,1,107.912,196,161,139,104,6000,1875,1377,1323,825
70,10,0.12,1,20000,1,1,173.535,171,168,132,129,6000,1610,1460,1240,1090
70,10,0.17,1,20000,1,1,290.527,214,190,110,86,6000,1894,1551,1149,806
70,10,0.07,0,20000,1,1,90.102,180,174,126,120,6000,1609,1604,1096,1091
70,10,0.12,0,20000,1,1,155.609,167,165,135,133,6000,1573,1439,1261,1127
70,10,0.17,0,20000,1,1,282.323,180,155,145,120,6000,1650,1393,1307,1050
70,10,0.22,0,20000,1,1,448.939,215,189,111,85,6000,1897,1606,1094,803
70,10,0.07,1,20000,1,1,108.248,178,189,111,122,6000,1539,1587,1113,1161
70,10,0.12,1,20000,1,1,162.193,170,170,130,130,6000,1566,1505,1195,1134
70,10,0.17,1,20000,1,1,280.845,211,162,138,89,6000,1950,1484,1216,750
70,10,0.07,0,20000,1,1,99.384,176,163,137,124,6000,1516,1446,1254,1184
70,10,0.12,0,20000,1,1,152.568,181,189,111,119,6000,1735,1628,1072,965
70,10,0.17,0,20000,1,1,293.475,210,159,141,90,6000,1937,1481,1219,763
70,10,0.22,0,20000,1,1,477.930,177,176,124,123,6000,1659,1542,1158,1041
