hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,25,0.17,0,40000,1,1,852.828,194,181,119,106,6000,1857,1606,1094,843
70,25,0.17,0,20000,2,1,638.935,217,161,139,83,6000,2025,1437,1263,675
70,25,0.17,0,10000,4,1,418.102,212,180,120,88,6000,1986,1572,1128,714
70,25,0.17,0,5000,8,1,306.462,214,178,122,86,6000,1968,1589,1111,732
70,25,0.17,0,2500,16,1,245.823,199,204,96,101,6000,1796,1726,974,904
70,25,0.17,0,1250,32,1,219.116,210,185,115,90,6000,1887,1636,1064,813
70,25,0.17,0,40000,1,1,803.465,176,172,128,124,6000,1547,1380,1320,1153
70,25,0.17,0,20000,2,1,562.276,208,174,126,92,6000,1986,1552,1148,714
70,25,0.17,0,10000,4,1,349.689,210,183,117,90,6000,1978,1530,1170,722
70,25,0.17,0,5000,8,1,230.626,208,181,119,92,6000,1964,1647,1053,736
70,25,0.17,0,2500,16,1,187.702,180,183,117,120,6000,1603,1654,1046,1097
70,25,0.17,0,1250,32,1,154.856,212,174,126,88,6000,1898,1547,1153,802
70,25,0.17,0,40000,1,1,841.032,220,167,133,80,6000,2018,1503,1197,682
70,25,0.17,0,20000,2,1,574.927,216,177,123,84,6000,1983,1473,1227,717
70,25,0.17,0,10000,4,1,335.985,231,161,139,69,6000,2014,1490,1210,686
70,25,0.17,0,5000,8,1,240.870,221,172,128,79,6000,2031,1524,1176,669
70,25,0.17,0,2500,16,1,192.010,209,192,108,91,6000,1858,1680,1020,842
70,25,0.17,0,1250,32,1,160.728,192,195,105,108,6000,1848,1740,960,852
