hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,25,0.17,0,60000,1,1,1209.008,222,161,139,78,6000,2051,1431,1269,649
70,25,0.17,0,60000,1,2,1777.410,195,259,41,105,6000,2170,2256,444,530
70,25,0.17,0,60000,1,3,1735.954,154,277,23,146,6000,2278,2457,243,422
70,25,0.17,0,60000,1,4,1752.863,157,275,25,143,6000,2249,2450,250,451
70,25,0.17,0,60000,1,1,1201.853,226,164,136,74,6000,2053,1429,1271,647
70,25,0.17,0,60000,1,2,1326.045,180,263,37,120,6000,2215,2257,443,485
70,25,0.17,0,60000,1,3,1426.488,163,270,30,137,6000,2239,2419,281,461
70,25,0.17,0,60000,1,4,1418.836,149,275,25,151,6000,2303,2448,252,397
70,25,0.17,0,60000,1,1,920.865,229,175,125,71,6000,2101,1519,1181,599
70,25,0.17,0,60000,1,2,1349.169,210,248,52,90,6000,2169,2190,510,531
70,25,0.17,0,60000,1,3,1409.719,156,273,27,144,6000,2310,2428,272,390
70,25,0.17,0,60000,1,4,1455.652,157,285,15,143,6000,2269,2452,248,431
