components,resize,color,whiten,mirror,time,true_pos,true_neg,false_pos,false_neg,total
10,0.1,1,1,0,4.706,1746,1682,1318,1254,6000
10,0.1,1,0,0,4.248,1868,1540,1460,1132,6000
10,0.1,0,1,0,2.028,1769,1692,1308,1231,6000
10,0.1,0,0,0,2.228,1877,1523,1477,1123,6000
10,0.2,1,1,0,44.581,1748,1690,1310,1252,6000
10,0.2,1,0,0,46.771,1868,1532,1468,1132,6000
10,0.2,0,1,0,5.105,1767,1687,1313,1233,6000
10,0.2,0,0,0,5.062,1868,1535,1465,1132,6000
10,0.3,0,1,0,23.965,1770,1686,1314,1230,6000
10,0.3,0,0,0,24.007,1826,1575,1425,1174,6000
10,0.4,0,1,0,71.615,1772,1687,1313,1228,6000
10,0.4,0,0,0,71.081,1873,1532,1468,1127,6000
10,0.5,0,1,0,173.348,1772,1687,1313,1228,6000
10,0.5,0,0,0,174.335,1871,1535,1465,1129,6000
25,0.1,1,1,0,7.389,1760,1677,1323,1240,6000
25,0.1,1,0,0,7.145,1864,1562,1438,1136,6000
25,0.1,0,1,0,3.311,1763,1647,1353,1237,6000
25,0.1,0,0,0,3.399,1872,1565,1435,1128,6000
25,0.2,1,1,0,140.779,1754,1669,1331,1246,6000
25,0.2,1,0,0,137.914,1857,1571,1429,1143,6000
25,0.2,0,1,0,9.636,1766,1647,1353,1234,6000
25,0.2,0,0,0,9.823,1858,1570,1430,1142,6000
25,0.3,0,1,0,77.719,1757,1637,1363,1243,6000
25,0.3,0,0,0,75.47,1863,1560,1440,1137,6000
50,0.1,1,1,0,12.477,1745,1631,1369,1255,6000
50,0.1,1,0,0,12.016,1827,1622,1378,1173,6000
50,0.1,0,1,0,5.847,1756,1634,1366,1244,6000
50,0.1,0,0,0,5.312,1865,1560,1440,1135,6000
50,0.2,0,1,0,17.58,1789,1614,1386,1211,6000
50,0.2,0,0,0,22.122,1866,1563,1437,1134,6000
50,0.3,0,1,0,173.31,1794,1613,1387,1206,6000
50,0.3,0,0,0,173.51,1867,1567,1433,1133,6000
75,0.1,1,1,0,21.41,1721,1664,1336,1279,6000
75,0.1,1,0,0,20.321,1855,1579,1421,1145,6000
75,0.1,0,1,0,10.402,1716,1654,1346,1284,6000
75,0.1,0,0,0,8.571,1864,1563,1437,1136,6000
75,0.2,0,1,0,30.385,1742,1621,1379,1258,6000
75,0.2,0,0,0,30.372,1876,1561,1439,1124,6000
100,0.1,1,1,0,28.268,1685,1653,1347,1315,6000
100,0.1,1,0,0,28.404,1857,1579,1421,1143,6000
100,0.1,0,1,0,14.128,1679,1622,1378,1321,6000
100,0.1,0,0,0,13.109,1861,1566,1434,1139,6000
100,0.2,0,1,0,47.706,1725,1573,1427,1275,6000
100,0.2,0,0,0,45.603,1867,1565,1435,1133,6000
