components,resize,color,whiten,mirror,time,true_pos,true_neg,false_pos,false_neg,total
50,0.10,1,1,0,12.477,1745,1631,1369,1255,6000
50,0.10,1,0,0,12.016,1827,1622,1378,1173,6000
50,0.10,0,1,0,5.847,1756,1634,1366,1244,6000
50,0.10,0,0,0,5.312,1865,1560,1440,1135,6000
50,0.20,1,1,0,-1.000,0,0,0,0,0
50,0.20,1,0,0,-1.000,0,0,0,0,0
50,0.20,0,1,0,17.580,1789,1614,1386,1211,6000
50,0.20,0,0,0,22.122,1866,1563,1437,1134,6000
50,0.30,0,1,0,173.310,1794,1613,1387,1206,6000
50,0.30,0,0,0,173.510,1867,1567,1433,1133,6000
