hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total
70,25,0.05,0,20000,1,1,99.237,169,160,140,131,600
70,25,0.10,0,20000,1,1,125.690,164,166,134,136,600
70,25,0.15,0,20000,1,1,167.628,171,157,143,129,600
70,25,0.20,0,20000,1,1,215.441,178,188,112,122,600
70,25,0.25,0,20000,1,1,300.549,192,146,154,108,600
70,25,0.30,0,20000,1,1,357.488,176,176,124,124,600
70,25,0.05,1,20000,1,1,102.804,167,151,149,133,600
70,25,0.10,1,20000,1,1,126.488,167,160,140,133,600
70,25,0.15,1,20000,1,1,179.095,162,165,135,138,600
70,25,0.20,1,20000,1,1,227.511,170,172,128,130,600
